Level	Date and Time	Source	Event ID	Task Category
Information	03-08-2019 14:46:31	McAfee Service Controller	1	None	The mfecore MMS Service entered the running state.
Information	03-08-2019 14:46:28	McAfee Service Controller	1	None	The mfeavsvc MMS Service entered the running state.
Information	03-08-2019 14:46:22	McAfee Service Controller	1	None	The mcproxy MMS Service entered the running state.
Information	03-08-2019 14:46:20	TPM	18	None	This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information	03-08-2019 14:46:20	Service Control Manager	7026	None	"The following boot-start or system-start driver(s) did not load: 
dam"
Information	03-08-2019 14:46:10	McAfee Service Controller	1	None	The protectedmodulehostservice MMS Service entered the running state.
Information	03-08-2019 14:46:07	McAfee Service Controller	1	None	The mmscom MMS Service entered the running state.
Information	03-08-2019 14:46:07	McAfee Service Controller	1	None	The mcbootdelaystartsvc MMS Service entered the running state.
Information	03-08-2019 14:46:06	McAfee Service Controller	1	None	The mfefire MMS Service entered the running state.
Warning	03-08-2019 14:46:04	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	03-08-2019 14:46:03	McAfee Service Controller	1	None	The mfevtp MMS Service entered the running state.
Warning	03-08-2019 14:46:01	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Information	03-08-2019 14:46:00	SmartByte Network Service	16	(1)	"The description for Event ID 16 from source SmartByte Network Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Service Starting

The message resource is present but the message was not found in the message table
"
Information	03-08-2019 14:46:00	SmartByte Network Service	0	None	"The description for Event ID 0 from source SmartByte Network Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Service started/resumed

The message resource is present but the message was not found in the message table
"
Information	03-08-2019 14:45:58	Microsoft-Windows-WLAN-AutoConfig	4000	None	"WLAN AutoConfig service has successfully started.
"
Information	03-08-2019 14:45:56	Microsoft-Windows-DHCPv6-Client	51046	Service State Event	DHCPv6 client service is started
Information	03-08-2019 14:45:55	Microsoft-Windows-FilterManager	6	None	File System Filter 'storqosflt' (10.0, ‎2027‎-‎11‎-‎11T21:41:39.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:55	Microsoft-Windows-FilterManager	6	None	File System Filter 'CldFlt' (10.0, ‎2055‎-‎06‎-‎16T02:37:10.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:55	Microsoft-Windows-FilterManager	1	None	File System Filter 'CldFlt' (Version 10.0, ‎2055‎-‎06‎-‎16T02:37:10.000000000Z) unloaded successfully.
Information	03-08-2019 14:45:55	Microsoft-Windows-FilterManager	6	None	File System Filter 'CldFlt' (10.0, ‎2055‎-‎06‎-‎16T02:37:10.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:55	Microsoft-Windows-Dhcp-Client	50103	Service State Event	DHCPv4 client registered for shutdown notification
Information	03-08-2019 14:45:55	Microsoft-Windows-Dhcp-Client	50036	Service State Event	DHCPv4 client service is started
Information	03-08-2019 14:45:55	Microsoft-Windows-FilterManager	6	None	File System Filter 'luafv' (10.0, ‎2024‎-‎04‎-‎14T10:40:21.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:55	Microsoft-Windows-FilterManager	6	None	File System Filter 'wcifs' (10.0, ‎2004‎-‎12‎-‎04T07:01:13.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:55	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\System32\WUDFHost.exe (process ID:716) reset policy scheme from {49EF8FC0-BB7F-488E-B6A0-F1FC77EC649B} to {49EF8FC0-BB7F-488E-B6A0-F1FC77EC649B}
Information	03-08-2019 14:45:55	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\System32\WUDFHost.exe (process ID:716) reset policy scheme from {49EF8FC0-BB7F-488E-B6A0-F1FC77EC649B} to {49EF8FC0-BB7F-488E-B6A0-F1FC77EC649B}
Information	03-08-2019 14:45:55	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\System32\WUDFHost.exe (process ID:716) reset policy scheme from {49EF8FC0-BB7F-488E-B6A0-F1FC77EC649B} to {49EF8FC0-BB7F-488E-B6A0-F1FC77EC649B}
Information	03-08-2019 14:45:55	Microsoft-Windows-UserModePowerService	12	(10)	Process C:\Windows\System32\WUDFHost.exe (process ID:716) reset policy scheme from {49EF8FC0-BB7F-488E-B6A0-F1FC77EC649B} to {49EF8FC0-BB7F-488E-B6A0-F1FC77EC649B}
Information	03-08-2019 14:45:55	Microsoft-Windows-Directory-Services-SAM	16962	None	"Remote calls to the SAM database are being restricted using the default security descriptor: O:SYG:SYD:(A;;RC;;;BA).
For more information please see http://go.microsoft.com/fwlink/?LinkId=787651."
Information	03-08-2019 14:45:54	Microsoft-Windows-Wininit	14	None	Credential Guard (LsaIso.exe) configuration: 0x0, 0
Error	03-08-2019 14:45:54	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Information	03-08-2019 14:45:54	BTHUSB	18	None	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information	03-08-2019 14:45:49	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{95c669f6-da48-46c1-8919-85b16e4f7733} (\Device\HarddiskVolume4) is healthy.  No action is needed.
Information	03-08-2019 14:45:48	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{63a575af-8a39-4cd1-b27e-7d51c09f397e} (\Device\HarddiskVolume9) is healthy.  No action is needed.
Information	03-08-2019 14:45:48	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{724896b8-88c6-45f4-9950-4c354cad8cdf} (\Device\HarddiskVolume8) is healthy.  No action is needed.
Information	03-08-2019 14:45:47	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{d64d8e01-5445-42ad-9f34-915eb5fc966f} (\Device\HarddiskVolume7) is healthy.  No action is needed.
Information	03-08-2019 14:45:47	Microsoft-Windows-Kernel-Power	521	(220)	Active battery count change.
Warning	03-08-2019 14:45:47	rt640x64	1	None	Realtek PCIe FE Family Controller is disconnected from network.
Information	03-08-2019 14:45:47	Microsoft-Windows-Kernel-Power	105	(100)	Power source change.
Information	03-08-2019 14:45:47	MEIx64	2	None	Intel(R) Management Engine Interface driver has started successfully.
Information	03-08-2019 14:45:46	Microsoft-Windows-Kernel-Power	521	(220)	Active battery count change.
Information	03-08-2019 14:45:46	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 3 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 2300
Maximum performance percentage: 100
Minimum performance percentage: 17
Minimum throttle percentage: 17"
Information	03-08-2019 14:45:46	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 1 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 2300
Maximum performance percentage: 100
Minimum performance percentage: 17
Minimum throttle percentage: 17"
Information	03-08-2019 14:45:46	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 2 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 2300
Maximum performance percentage: 100
Minimum performance percentage: 17
Minimum throttle percentage: 17"
Information	03-08-2019 14:45:46	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (3 state(s))

Performance state type: ACPI Performance (P) / Throttle (T) States
Nominal Frequency (MHz): 2300
Maximum performance percentage: 100
Minimum performance percentage: 17
Minimum throttle percentage: 17"
Warning	03-08-2019 14:45:46	Microsoft-Windows-Kernel-PnP	219	(212)	The driver \Driver\WUDFRd failed to load for the device ACPI\INT3400\2&daba3ff&0.
Information	03-08-2019 14:45:46	Microsoft-Windows-DriverFrameworks-UserMode	10118	Startup of the UMDF reflector	UMDF reflector is unable to connect to service control manager (SCM). This is expected during boot, when SCM has not started yet. Will retry when it starts.
Information	03-08-2019 14:45:28	Microsoft-Windows-Kernel-Power	172	(203)	Connectivity state in standby: Disconnected, Reason: NIC compliance
Information	03-08-2019 14:45:28	Microsoft-Windows-FilterManager	6	None	File System Filter 'npsvctrig' (10.0, ‎2094‎-‎02‎-‎20T15:44:30.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:27	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileCrypt' (10.0, ‎2070‎-‎12‎-‎16T04:43:56.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:26	Microsoft-Windows-Ntfs	98	None	Volume C: (\Device\HarddiskVolume3) is healthy.  No action is needed.
Information	03-08-2019 14:45:24	Microsoft-Windows-Ntfs	98	None	Volume E: (\Device\HarddiskVolume6) is healthy.  No action is needed.
Information	03-08-2019 14:45:24	Microsoft-Windows-Ntfs	98	None	Volume D: (\Device\HarddiskVolume5) is healthy.  No action is needed.
Information	03-08-2019 14:45:22	Microsoft-Windows-FilterManager	6	None	File System Filter 'mfehidk' (0.0, ‎2019‎-‎04‎-‎26T08:39:33.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:22	Microsoft-Windows-FilterManager	6	None	File System Filter 'Wof' (10.0, ‎2036‎-‎09‎-‎29T19:17:10.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:22	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileInfo' (10.0, ‎2063‎-‎09‎-‎07T20:36:45.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 14:45:21	Microsoft-Windows-Kernel-Boot	30	(21)	The firmware reported boot metrics.
Information	03-08-2019 14:45:21	Microsoft-Windows-Kernel-Boot	25	(32)	The boot menu policy was 0x1.
Information	03-08-2019 14:45:21	Microsoft-Windows-Kernel-Boot	27	(33)	The boot type was 0x0.
Information	03-08-2019 14:45:21	Microsoft-Windows-Kernel-Boot	20	(31)	The last shutdown's success status was true. The last boot's success status was true.
Information	03-08-2019 14:45:21	Microsoft-Windows-Kernel-Boot	32	(58)	The bootmgr spent 0 ms waiting for user input.
Information	03-08-2019 14:45:21	Microsoft-Windows-Kernel-Boot	18	(57)	There are 0x1 boot options on this system.
Information	03-08-2019 14:45:21	Microsoft-Windows-Kernel-Boot	153	(62)	Virtualization-based security (policies: 0) is disabled.
Information	03-08-2019 14:45:21	Microsoft-Windows-Kernel-General	12	(1)	The operating system started at system time ‎2019‎-‎08‎-‎03T09:15:21.500000000Z.
Information	03-08-2019 12:54:02	Microsoft-Windows-Kernel-General	13	(2)	The operating system is shutting down at system time ‎2019‎-‎08‎-‎03T07:24:02.977708400Z.
Error	03-08-2019 12:53:59	Service Control Manager	7011	None	A timeout (30000 milliseconds) was reached while waiting for a transaction response from the ModuleCoreService service.
Error	03-08-2019 12:53:59	Service Control Manager	7011	None	A timeout (30000 milliseconds) was reached while waiting for a transaction response from the FontCache3.0.0.0 service.
Information	03-08-2019 12:53:54	Microsoft-Windows-WLAN-AutoConfig	4001	None	"WLAN AutoConfig service has successfully stopped.
"
Information	03-08-2019 14:45:55	EventLog	6013	None	The system uptime is 34 seconds.
Information	03-08-2019 14:45:55	EventLog	6005	None	The Event log service was started.
Information	03-08-2019 14:45:55	EventLog	6009	None	Microsoft (R) Windows (R) 10.00. 17134  Multiprocessor Free.
Information	03-08-2019 12:53:51	Microsoft-Windows-Kernel-Power	105	(100)	Power source change.
Information	03-08-2019 12:53:48	EventLog	6006	None	The Event log service was stopped.
Information	03-08-2019 12:53:36	Microsoft-Windows-Kernel-Power	109	(103)	"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information	03-08-2019 12:53:36	Microsoft-Windows-Kernel-Power	109	(103)	"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information	03-08-2019 12:53:33	Microsoft-Windows-Dhcp-Client	50037	Service State Event	DHCPv4 client service is stopped. ShutDown Flag value is 1
Information	03-08-2019 12:53:32	Microsoft-Windows-DHCPv6-Client	51057	Service State Event	DHCPv6 client service stop is almost done.DHCP Context Ref count is 1
Information	03-08-2019 12:53:32	Microsoft-Windows-DHCPv6-Client	51047	Service State Event	DHCPv6 client service is stopped. ShutDown Flag value is 1
Information	03-08-2019 12:53:30	Microsoft-Windows-Dhcp-Client	50106	Service State Event	DHCPv4 is waiting on DHCPv6 service to stop
Information	03-08-2019 12:53:29	Microsoft-Windows-Dhcp-Client	50105	Service State Event	DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
Information	03-08-2019 12:53:29	Microsoft-Windows-Dhcp-Client	50104	Service State Event	DHCPv4 client received shutdown notification
Information	03-08-2019 12:53:30	McAfee Service Controller	4	None	The mcbootdelaystartsvc MMS Service entered the Post-Shutdown state.
Information	03-08-2019 12:53:29	McAfee Service Controller	4	None	The mfefire MMS Service entered the Post-Shutdown state.
Information	03-08-2019 12:53:12	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Warning	03-08-2019 12:19:13	Microsoft-Windows-DNS-Client	1014	(1014)	Name resolution for the name www.gstatic.com timed out after none of the configured DNS servers responded.
Information	03-08-2019 12:14:14	Microsoft-Windows-Kernel-Power	520	(218)	The brightness on this system is managed by high-precision brightness aware service.
Information	03-08-2019 12:09:00	Microsoft-Windows-WindowsUpdateClient	43	Windows Update Agent	Installation Started: Windows has started installing the following update: 2018-09 Update for Windows 10 Version 1803 for x64-based Systems (KB4100347)
Information	03-08-2019 12:08:56	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information	03-08-2019 12:05:00	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Packages\DellInc.DellSupportAssistforPCs_htrsf667h5kn2\S-1-5-21-2479648021-1448410262-2704196919-1001\SystemAppData\Helium\UserClasses.dat was cleared updating 5 keys and creating 1 modified pages.
Information	03-08-2019 12:05:00	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\ProgramData\Packages\DellInc.DellSupportAssistforPCs_htrsf667h5kn2\S-1-5-21-2479648021-1448410262-2704196919-1001\SystemAppData\Helium\User.dat was cleared updating 1 keys and creating 1 modified pages.
Error	03-08-2019 12:02:23	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	03-08-2019 12:02:22	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	03-08-2019 12:02:22	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	03-08-2019 12:02:15	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	03-08-2019 12:02:14	Microsoft-Windows-Ntfs	98	None	Volume E: (\Device\HarddiskVolume6) is healthy.  No action is needed.
Information	03-08-2019 12:02:13	Microsoft-Windows-Ntfs	98	None	Volume D: (\Device\HarddiskVolume5) is healthy.  No action is needed.
Information	03-08-2019 12:02:09	Microsoft-Windows-Power-Troubleshooter	1	None	"The system has returned from a low power state.

Sleep Time: ‎2019‎-‎08‎-‎03T05:54:32.981840900Z
Wake Time: ‎2019‎-‎08‎-‎03T06:32:04.471726600Z

Wake Source: Unknown"
Warning	03-08-2019 12:02:07	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	03-08-2019 12:02:07	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Warning	03-08-2019 12:02:07	Microsoft-Windows-WHEA-Logger	17	None	"A corrected hardware error has occurred.

Component: PCI Express Root Port
Error Source: Advanced Error Reporting (PCI Express)

Bus:Device:Function: 0x0:0x1C:0x0
Vendor ID:Device ID: 0x8086:0x9D14
Class Code: 0x30400

The details view of this entry contains further information."
Error	03-08-2019 12:02:06	BTHUSB	5	None	The Bluetooth driver expected an HCI event with a certain size but did not receive it.
Information	03-08-2019 12:02:05	BTHUSB	18	None	Windows cannot store Bluetooth authentication codes (link keys) on the local adapter. Bluetooth keyboards might not work in the system BIOS during startup.
Information	03-08-2019 12:02:04	Microsoft-Windows-Kernel-Boot	27	(33)	The boot type was 0x1.
Information	03-08-2019 12:02:04	Microsoft-Windows-Kernel-Boot	25	(32)	The boot menu policy was 0x1.
Information	03-08-2019 12:02:04	Microsoft-Windows-Kernel-Boot	32	(58)	The bootmgr spent 0 ms waiting for user input.
Information	03-08-2019 12:02:04	Microsoft-Windows-Kernel-Boot	18	(57)	There are 0x1 boot options on this system.
Information	03-08-2019 12:02:04	Microsoft-Windows-Kernel-Boot	30	(21)	The firmware reported boot metrics.
Warning	03-08-2019 12:02:03	rt640x64	1	None	Realtek PCIe FE Family Controller is disconnected from network.
Information	03-08-2019 12:02:02	Microsoft-Windows-Kernel-General	1	(5)	"The system time has changed to ‎2019‎-‎08‎-‎03T06:32:02.500000000Z from ‎2019‎-‎08‎-‎03T05:54:51.913400000Z.

Change Reason: System time synchronized with the hardware clock."
Information	03-08-2019 11:24:51	Microsoft-Windows-Kernel-Power	107	(102)	The system has resumed from sleep.
Information	03-08-2019 12:02:03	EventLog	6013	None	The system uptime is 2718 seconds.
Information	03-08-2019 11:24:45	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from auto start to demand start.
Information	03-08-2019 11:24:45	Microsoft-Windows-Kernel-Power	42	(64)	"The system is entering sleep.

Sleep Reason: Application API"
Information	03-08-2019 11:24:44	Microsoft-Windows-Kernel-General	16	None	The access history in hive \??\C:\WINDOWS\System32\SMI\Store\Machine\SCHEMA.DAT was cleared updating 15825 keys and creating 2691 modified pages.
Information	03-08-2019 11:24:37	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from demand start to auto start.
Information	03-08-2019 11:24:28	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Information	03-08-2019 11:24:06	User32	1074	None	"The process C:\Windows\System32\RuntimeBroker.exe (DESKTOP-HNCA8IM) has initiated the power off of computer DESKTOP-HNCA8IM on behalf of user DESKTOP-HNCA8IM\karthikeyaram for the following reason: Other (Unplanned)
 Reason Code: 0x0
 Shutdown Type: power off
 Comment: "
Information	03-08-2019 11:23:45	Microsoft-Windows-WindowsUpdateClient	44	Windows Update Agent	Windows Update started downloading an update.
Information	03-08-2019 11:23:43	Microsoft-Windows-HttpEvent	15007	None	Reservation for namespace identified by URL prefix http://127.0.0.1:8884:127.0.0.1/ was successfully added.
Information	03-08-2019 11:23:43	Microsoft-Windows-HttpEvent	15008	None	Reservation for namespace identified by URL prefix http://127.0.0.1:8884:127.0.0.1/ was successfully deleted.
Information	03-08-2019 11:21:57	Service Control Manager	7045	None	"A service was installed in the system.

Service Name:  Nal Service 
Service File Name:  C:\WINDOWS\system32\Drivers\iqvw64e.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information	03-08-2019 11:21:46	Service Control Manager	7045	None	"A service was installed in the system.

Service Name:  PCDSRVC{A1EF77D3-5C5D2C9F-06020300}_0 - PCDR Kernel Mode Service Helper Driver
Service File Name:  c:\program files\dell\supportassistagent\pcdr\supportassist\6.0.7033.2285\pcdsrvc_x64.pkms
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Error	03-08-2019 11:21:01	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	03-08-2019 11:20:36	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscCloudBackupProvider
 and APPID 
Unavailable
 to the user DESKTOP-HNCA8IM\karthikeyaram SID (S-1-5-21-2479648021-1448410262-2704196919-1001) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	03-08-2019 11:19:45	Microsoft-Windows-FilterManager	6	None	File System Filter 'wcnfs' (10.0, ‎2008‎-‎01‎-‎24T07:08:29.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 11:19:32	McAfee Service Controller	1	None	The msk80service MMS Service entered the running state.
Information	03-08-2019 11:19:32	McAfee Service Controller	1	None	The homenetsvc MMS Service entered the running state.
Information	03-08-2019 11:18:48	McAfee Service Controller	1	None	The mcpltsvc MMS Service entered the running state.
Information	03-08-2019 11:18:19	Microsoft-Windows-TPM-WMI	1025	None	The TPM was successfully provisioned and is now ready for use.
Information	03-08-2019 11:18:18	Microsoft-Windows-TPM-WMI	1025	None	The TPM was successfully provisioned and is now ready for use.
Warning	03-08-2019 11:18:17	Microsoft-Windows-Kernel-Processor-Power	37	(7)	The speed of processor 0 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 6 seconds since the last report.
Warning	03-08-2019 11:18:17	Microsoft-Windows-Kernel-Processor-Power	37	(7)	The speed of processor 1 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 6 seconds since the last report.
Warning	03-08-2019 11:18:17	Microsoft-Windows-Kernel-Processor-Power	37	(7)	The speed of processor 3 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 6 seconds since the last report.
Warning	03-08-2019 11:18:17	Microsoft-Windows-Kernel-Processor-Power	37	(7)	The speed of processor 2 in group 0 is being limited by system firmware. The processor has been in this reduced performance state for 6 seconds since the last report.
Error	03-08-2019 11:18:08	Service Control Manager	7000	None	"The Windows Presentation Foundation Font Cache 3.0.0.0 service failed to start due to the following error: 
The service did not respond to the start or control request in a timely fashion."
Error	03-08-2019 11:18:08	Service Control Manager	7009	None	A timeout was reached (30000 milliseconds) while waiting for the FontCache3.0.0.0 service to connect.
Information	03-08-2019 11:18:04	McAfee Service Controller	1	None	The mfecore MMS Service entered the running state.
Information	03-08-2019 11:17:59	McAfee Service Controller	1	None	The mfeavsvc MMS Service entered the running state.
Information	03-08-2019 11:17:52	McAfee Service Controller	1	None	The mcproxy MMS Service entered the running state.
Information	03-08-2019 11:17:48	TPM	18	None	This event triggers the Trusted Platform Module (TPM) provisioning/status check to run.
Information	03-08-2019 11:17:48	Service Control Manager	7026	None	"The following boot-start or system-start driver(s) did not load: 
dam"
Error	03-08-2019 11:17:48	Service Control Manager	7000	None	"The RNDBWM service failed to start due to the following error: 
The service did not respond to the start or control request in a timely fashion."
Error	03-08-2019 11:17:48	Service Control Manager	7009	None	A timeout was reached (30000 milliseconds) while waiting for the RNDBWM service to connect.
Error	03-08-2019 11:17:43	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Error	03-08-2019 11:17:43	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{6B3B8D23-FA8D-40B9-8DBD-B950333E2C52}
 and APPID 
{4839DDB7-58C2-48F5-8283-E1D1807D0D7D}
 to the user NT AUTHORITY\LOCAL SERVICE SID (S-1-5-19) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	03-08-2019 11:17:37	McAfee Service Controller	1	None	The protectedmodulehostservice MMS Service entered the running state.
Information	03-08-2019 11:17:34	Microsoft-Windows-WLAN-AutoConfig	4000	None	"WLAN AutoConfig service has successfully started.
"
Information	03-08-2019 11:17:34	McAfee Service Controller	1	None	The mmscom MMS Service entered the running state.
Information	03-08-2019 11:17:34	McAfee Service Controller	1	None	The mcbootdelaystartsvc MMS Service entered the running state.
Information	03-08-2019 11:17:33	McAfee Service Controller	1	None	The mfefire MMS Service entered the running state.
Information	03-08-2019 11:17:30	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	03-08-2019 11:17:28	McAfee Service Controller	1	None	The mfevtp MMS Service entered the running state.
Information	03-08-2019 11:17:23	SmartByte Network Service	16	(1)	"The description for Event ID 16 from source SmartByte Network Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

Service Starting

The message resource is present but the message was not found in the message table
"
Information	03-08-2019 11:17:14	Microsoft-Windows-FilterManager	6	None	File System Filter 'storqosflt' (10.0, ‎2027‎-‎11‎-‎11T21:41:39.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 11:17:14	Microsoft-Windows-FilterManager	6	None	File System Filter 'CldFlt' (10.0, ‎2055‎-‎06‎-‎16T02:37:10.000000000Z) has successfully loaded and registered with Filter Manager.
Information	03-08-2019 11:17:14	Microsoft-Windows-FilterManager	1	None	File System Filter 'CldFlt' (Version 10.0, ‎2055‎-‎06‎-‎16T02:37:10.000000000Z) unloaded successfully.
Information	03-08-2019 11:17:14	Microsoft-Windows-FilterManager	6	None	File System Filter 'CldFlt' (10.0, ‎2055‎-‎06‎-‎16T02:37:10.000000000Z) has successfully loaded and registered with Filter Manager.
